sample_id,n_frac,x1_m,T1_s,a_hat_m_s,a_hat_ok,Y0_m2_s,omega_star_rad_s,fracture_positions_m,mask_design,y_active,alpha_ss,Y_eq_m2_s,log10_Y_over_Y0,fracture_Q_ss_m3_s,fracture_Cf_m2,fracture_kleak_m2p5_s,fracture_Kp_s2_m5
124,4,4656.482421875,6.688018321990967,1392.48486328125,1,0.00010798444418469444,0.9394688606262207,4656.4824|4685.2188|4730.918|4750.116,1|1|1|1,0|1|1|1,0.01382822|0.53496385|0.21535297|0.23585498,0.0|0.00026107475|0.00018356524|0.00018273937,-6.0333614|0.3834038|0.23042949|0.22847116,0.00026493907|0.010249535|0.0041260133|0.004518817,0.0008459579|0.021322122|0.0052813143|0.0063480274,4.197534e-06|0.00016269567|6.54261e-05|7.166512e-05,70517064.0|186821.5|659252.2|604927.75
125,2,4542.375,6.46713924407959,1404.755615234375,1,0.00010704119631554931,0.9715555906295776,4542.375|4552.4834,1|1,1|1,0.720707|0.27929303,0.00039526986|0.0006767385,0.5673429|0.80087,0.0131295975|0.0050880667,0.01598384|0.009405743,0.00019267239|7.456257e-05,96281.37|144408.5
126,2,4850.509765625,6.915816307067871,1402.7294921875,1,0.00010719579586293548,0.9085240364074707,4850.51|4894.2856,1|1,1|1,0.65017396|0.34982607,3.9715695e-05|5.2371175e-05,-0.4312145|-0.3110846,0.013308017|0.007160378,0.008679306|0.0074577043,0.00014988927|8.0145786e-05,945982.9|1333262.1
127,5,4806.08935546875,6.590443134307861,1458.502685546875,1,0.00010309663048246875,0.9533782601356506,4806.0894|4849.585|4862.8164|4908.099|4950.0,1|1|1|1|1,1|1|1|1|0,0.23516709|0.25811344|0.08592816|0.40229392|0.018497387,0.0032172338|0.0031205202|0.0011178683|0.0040213563|0.0,1.4942381|1.4809825|1.0351462|1.5911281|-6.0132446,0.004645992|0.005099323|0.0016976079|0.007947772|0.00036543683,0.014936718|0.014101344|0.00288599|0.026408214|0.0002391003,9.8797245e-05|0.00010844948|3.60992e-05|0.00016904308|7.786815e-06,31645.664|29625.627|54937.812|15234.132|67736264.0
128,4,4542.5361328125,6.268245220184326,1449.3804931640625,1,0.00010374550038250163,1.0023834705352783,4542.536|4578.48|4609.042|4629.4316,1|1|1|1,1|1|1|1,0.5843018|0.05139714|0.11809871|0.24620233,0.00010561244|0.0011229615|0.00080786797|0.000836764,0.007746197|1.0343956|0.89137113|0.90663373,0.007898072|0.00069474085|0.0015963534|0.003327944,0.0053397906|0.0059531424|0.012205974|0.034249254,0.00059558183|4.761587e-05|0.00010959519|0.00022902279,599140.56|617292.9|385998.66|179444.58
129,4,4772.1962890625,6.770753860473633,1409.64990234375,1,0.00010666954040061682,0.9279890656471252,4772.1963|4796.328|4833.5073|4874.323,1|1|1|1,1|1|1|1,0.04709589|0.7549057|0.041696593|0.15630183,0.00032108268|4.1470477e-05|0.0003440238|0.0002633751,0.4785766|-0.41030034|0.5085482|0.39253446,0.0010819265|0.01734233|0.00095788937|0.0035906974,0.004562331|0.012|0.0036360442|0.013589421,5.085852e-05|0.0011086813|4.5037566e-05|0.00016985368,1430956.2|695204.1|1501293.0|528474.5
130,4,4711.5634765625,6.568037509918213,1434.6944580078125,1,0.00010480748460395262,0.956630527973175,4711.5635|4745.432|4772.8164|4819.749,1|1|1|1,0|1|1|1,0.0055856514|0.10192493|0.06636002|0.8261294,0.0|0.00075361197|0.0006097594|0.00015769679,-6.0203924|0.85675555|0.7647663|0.17743084,0.00010919519|0.0019925542|0.0012972875|0.016150195,0.00057023915|0.016464889|0.005768093|0.012,8.437695e-06|0.0001543591|0.00010052001|0.0015,84192230.0|332205.28|624220.1|196268.77
131,4,4851.65576171875,6.624946117401123,1464.6627197265625,1,0.00010266303434036672,0.9484130144119263,4851.656|4871.47|4889.847|4923.36,1|1|1|1,1|1|0|1,0.10442246|0.10981452|0.0042523392|0.7815107,0.00065432506|0.00065761|0.0|0.0006384293,0.8043795|0.8065544|-6.011414|0.7936988,0.0015410151|0.0016205884|6.275393e-05|0.011533149,0.0038925314|0.004647231|0.00045417788|0.042894837,4.761068e-05|5.007396e-05|1.938252e-06|0.00035774734,479754.22|458468.4|70742600.0|67889.305
132,4,4637.6357421875,6.797341346740723,1364.5439453125,1,0.00011019557859981433,0.9243592023849487,4637.6357|4684.8643|4696.313|4731.1714,1|1|1|1,1|1|1|0,0.15521081|0.6540061|0.18681528|0.003967806,0.00013268844|0.00011974274|0.00014755502|0.0,0.080669254|0.036085393|0.1267901|-6.0421643,0.0026655293|0.011231642|0.0032082917|6.814153e-05,0.0042439667|0.019408355|0.00969364|0.0009893585,7.0477756e-05|0.00030091562|8.4865635e-05|1.795949e-06,1412057.1|371755.62|1055901.6|98725050.0
133,3,4680.671875,6.693051338195801,1398.666015625,1,0.00010750722867669538,0.9387624263763428,4680.672|4715.5947|4742.398,1|1|1,1|0|1,0.049280237|0.024483563|0.9262362,0.0034982336|0.0|0.0007939154,1.5124111|-6.031438|0.8683366,0.0008073061|0.00040108836|0.01517355,0.0075256918|0.0039338865|0.012,7.4236785e-05|3.692937e-05|0.0014585514,100765.72|120582.6|41280.41
134,6,4761.0224609375,6.453954219818115,1475.381591796875,1,0.00010191716864937916,0.9735404253005981,4761.0225|4789.2725|4805.4717|4825.2363|4869.412|4880.791,1|1|1|1|1|1,1|1|1|0|1|1,0.06067354|0.057279445|0.101884104|0.0028463537|0.24376047|0.5335561,0.0016552862|0.0017595339|0.0013563073|0.0|0.001737405|0.00016545826,1.2106258|1.2371503|1.1241108|-6.0082474|1.2316537|0.21044138,0.0013945999|0.0013165856|0.0023418374|6.542432e-05|0.0056029093|0.012263951,0.0071210335|0.00797593|0.0102012325|0.0003349159|0.02911785|0.005922455,7.561713e-05|7.143832e-05|0.00012721191|3.5524104e-06|0.00030507272|0.00070593326,203433.19|204104.44|154417.89|70913864.0|51168.992|246177.92
135,1,4738.30224609375,6.9055352210998535,1372.320068359375,1,0.00010957117046928033,0.9098766446113586,4738.3022,1,1,1.0,0.0004231816,0.58683056,0.013849722,0.012870947,0.00012116265,85198.76
136,4,4821.40771484375,6.5180792808532715,1479.3951416015625,1,0.00010164066770812497,0.9639626741409302,4821.4077|4835.438|4869.1255|4889.4116,1|1|1|1,1|1|0|1,0.33464414|0.2674702|0.0072945324|0.3905911,0.0006522237|0.00057404|0.0|0.0004392794,0.8073291|0.7518747|-6.0070677|0.6356734,0.0060529867|0.0048379563|0.00013194227|0.007064946,0.020264747|0.016166365|0.00069088436|0.017805764,0.00016094759|0.00012862442|3.5039543e-06|0.00018809487,126507.76|179793.38|54975484.0|161003.0
137,5,4603.1123046875,6.2962446212768555,1462.177001953125,1,0.00010283755545970052,0.9979258179664612,4603.1123|4615.5405|4647.496|4663.9097|4698.326,1|1|1|1|1,1|1|1|1|1,0.34655896|0.068561174|0.14559607|0.3154366|0.123847194,0.0024582734|0.0020203937|0.0026267464|0.0033210586|0.0028051727,1.3784785|1.2932843|1.4072665|1.5091248|1.4358078,0.0071903816|0.0014225026|0.0030208176|0.0065446575|0.0025695732,0.0174909|0.0041608782|0.0088263955|0.025505016|0.0073363115,0.0002163405|4.2776122e-05|9.0862864e-05|0.00019690114|7.728727e-05,27713.643|66953.82|56792.156|22605.252|56961.3
138,3,4874.3447265625,6.976299285888672,1397.4012451171875,1,0.00010760453733382747,0.9006472826004028,4874.3447|4895.489|4933.8467,1|1|1,1|1|1,0.10748462|0.5077356|0.38477975,0.0008294894|0.00068789994|0.00048866036,0.8869803|0.80569476|0.6571766,0.0024114712|0.0113913035|0.008632726,0.0023201557|0.023947319|0.010535425,2.4189183e-05|0.000114307644|8.6629174e-05,200970.23|63742.41|118210.88
139,3,4866.9521484375,7.121458530426025,1366.8414306640625,1,0.00011001036182278767,0.8822891116142273,4866.952|4887.108|4906.312,1|1|1,1|1|1,0.3550212|0.36015514|0.28482363,4.7194288e-05|4.595445e-05|4.4070803e-05,-0.36754325|-0.37910506|-0.39728165,0.008106845|0.008224078|0.006503897,0.012454478|0.0117506515|0.010225726,0.00010976118|0.00011138702|8.796262e-05,1306834.4|1322959.4|1744355.1
140,3,4562.134765625,6.138317584991455,1486.4447021484375,1,0.00010115863551618531,1.0236005783081055,4562.135|4598.0728|4639.386,1|1|1,1|1|1,0.15682009|0.41989353|0.42328638,0.0014312359|0.0011598099|0.0012569557,1.1507083|1.0593839|1.0943171,0.0029571184|0.00791783|0.007981809,0.004946414|0.019044902|0.022432156,4.2697255e-05|0.000114357696|0.00011528024,107790.055|54253.84|49686.742
141,6,4624.5390625,6.21589994430542,1487.9708251953125,1,0.00010105487308464944,1.0108246803283691,4624.539|4641.8164|4681.0815|4709.02|4719.6704|4768.231,1|1|1|1|1|1,1|0|1|1|1|1,0.13838674|0.01732752|0.09799545|0.3950254|0.104922906|0.24634199,0.00052686705|0.0|0.0007283302|0.00079572864|0.00065329374|0.0005165887,0.71714383|-6.004557|0.8577711|0.89620775|0.8105513|0.7085877,0.0029082086|0.00036413924|0.0020593824|0.008301491|0.0022049635|0.005176897,0.004789454|0.0009352697|0.0041432367|0.023900464|0.004223754|0.010922555,7.06542e-05|8.873409e-06|5.002269e-05|0.0002018902|5.3568125e-05|0.00012589603,322401.84|95802920.0|322938.34|75609.36|338769.6|186551.55
142,2,4543.41552734375,7.0561347007751465,1287.7916259765625,1,0.00011676323629217222,0.8904570937156677,4543.4155|4591.7905,1|1,1|1,0.4487034|0.5512966,8.0532176e-05|8.6177664e-05,-0.16133614|-0.13191089,0.00916511|0.011260655,0.008342512|0.010834695,8.619813e-05|0.00010594749,677347.56|515201.1
143,3,4773.83349609375,6.743886470794678,1415.75146484375,1,0.00010620982357067987,0.9316861033439636,4773.8335|4810.0913|4838.143,1|1|1,1|1|1,0.3517525|0.1960314|0.4522161,6.2033454e-05|6.964359e-05|6.7757064e-05,-0.233538|-0.18328291|-0.19520944,0.006700242|0.00373404|0.00861389,0.01030694|0.0035698407|0.012576703,0.00010562516|5.8668444e-05|0.00013595949,1202915.6|1921843.8|856645.9
144,1,4611.5615234375,7.056230545043945,1307.0892333984375,1,0.00011503936548251659,0.8904449939727783,4611.5615,1,1,1.0,0.0002206919,0.28294012,0.021930758,0.0114405705,0.0006545473,103256.4
145,1,4599.5859375,6.798935890197754,1353.0311279296875,1,0.00011113322398159653,0.9241424798965454,4599.586,1,1,1.0,0.00016450581,0.17033759,0.015516992,0.010931777,0.00010162388,195823.95
146,6,4647.67236328125,6.574057579040527,1413.943359375,1,0.00010634564387146384,0.9557545185089111,4647.6724|4670.9424|4683.7515|4696.0283|4742.6694|4765.1533,1|1|1|1|1|1,1|1|1|1|0|1,0.6651131|0.05819083|0.104466|0.10605539|0.0017602593|0.06441445,0.00066870014|0.0046407743|0.004862099|0.0039681834|0.0|0.0039420733,0.7985118|1.6398708|1.660104|1.571872|-6.0267196|1.569005,0.015037891|0.0013156671|0.0023619267|0.002397862|3.979863e-05|0.0014563802,0.011964091|0.010459395|0.014663807|0.014227787|0.0008912596|0.008877068,0.0008813696|7.568777e-05|0.00013590697|0.00013799149|2.2896895e-06|8.3792e-05,49545.152|56144.42|37442.21|47604.29|64415930.0|59620.125
147,2,4806.21435546875,6.712925434112549,1431.9283447265625,1,0.00010500993812456727,0.9359831809997559,4806.2144|4844.211,1|1,1|1,0.60893804|0.39106196,0.0013327745|0.0014787029,1.1035264|1.1486505,0.011699979|0.007513764,0.013329147|0.008690474,0.000108591405|6.973236e-05,31694.434|43461.75
148,5,4539.1298828125,6.0974297523498535,1488.86669921875,1,0.00010099407518282533,1.03046452999115,4539.13|4586.2593|4612.9277|4623.0723|4635.575,1|1|1|1|1,1|1|1|0|1,0.30092844|0.22865541|0.3098927|0.017362034|0.1431614,0.0023470407|0.0020812103|0.0028740657|0.0|0.0017429191,1.3662248|1.31402|1.4542007|-6.004296|1.2369814,0.0040435963|0.0030724583|0.0041640494|0.00023329484|0.0019236696,0.0224621|0.016579103|0.025427192|0.00035587014|0.0046694893,0.00011825825|8.985823e-05|0.00012178508|6.8328454e-06|5.625527e-05,52136.562|77014.13|41269.758|74175580.0|125955.15
149,1,4632.85009765625,6.960038185119629,1331.271484375,1,0.00011294970317976549,0.9027515649795532,4632.85,1,1,1.0,0.00024352975,0.33366713,0.0133345425,0.010710887,0.000751193,153865.11
150,6,4528.9736328125,6.521081924438477,1389.0252685546875,1,0.00010825340723386034,0.9635188579559326,4528.9736|4575.7397|4597.737|4612.33|4644.579|4668.4004,1|1|1|1|1|1,0|1|1|1|1|1,0.008825988|0.23610008|0.24789807|0.10204903|0.31366587|0.091460966,0.0|0.0032165276|0.0036057404|0.0019529767|0.0032968824|0.0024720356,-6.0344415|1.4729457|1.5225528|1.2562555|1.4836619|1.3586131,0.00018416662|0.00492656|0.0051727416|0.0021293964|0.006545079|0.0019084616,0.00025742166|0.013930217|0.018348442|0.0040697237|0.017801046|0.0052258964,5.2937457e-06|0.00014156681|0.00014865289|6.118584e-05|0.00018812418|5.483829e-05,66934780.0|29621.578|25640.914|65407.75|22280.309|63021.55
151,4,4717.49609375,6.483072757720947,1455.3272705078125,1,0.00010332158126402646,0.9691678285598755,4717.496|4746.8345|4778.169|4801.122,1|1|1|1,0|1|1|1,0.0068563046|0.20103803|0.68966556|0.10244009,0.0|0.0063396147|0.0013683193|0.0050350013,-6.014191|1.7878718|1.1219964|1.6878085,9.181748e-05|0.0026922382|0.009235784|0.0013718455,0.0009730375|0.013569161|0.0074746674|0.010448592,7.806648e-06|0.00022866906|0.0007938333|0.000116550065,74848980.0|18524.373|38063.777|32360.318
152,2,4597.47412109375,6.509337425231934,1412.5782470703125,1,0.00010644841677276418,0.9652572870254517,4597.474|4608.494,1|1,1|1,0.30437705|0.695623,0.0025678282|0.00049032376,1.3824267|0.66334385,0.003966086|0.009064089,0.017398734|0.005,0.00021602736|0.0005,47916.97|111296.625
153,3,4889.93115234375,6.705978870391846,1458.3795166015625,1,0.00010310533252777532,0.9369527697563171,4889.931|4910.93|4921.978,1|1|1,1|1|1,0.5839259|0.11696966|0.29910445,0.0005425225|0.0008527534|0.00047354985,0.7211367|0.9175424|0.66208464,0.009457676|0.0018945233|0.004844507,0.019651446|0.0037233222|0.0071562766,0.00013282365|2.65867e-05|6.801236e-05,97362.03|289732.62|216855.22
154,4,4508.32177734375,6.356166362762451,1418.5662841796875,1,0.00010599906818242744,0.9885180592536926,4508.322|4550.1426|4583.728|4624.6816,1|1|1|1,1|1|1|1,0.06345865|0.07154788|0.07929415|0.7856993,0.001698155|0.0017096291|0.0023849187|0.00054140284,1.2046753|1.2075999|1.3521715|0.7082186,0.0008005293|0.0009025748|0.0010002938|0.009911578,0.003807306|0.0040999567|0.007500319|0.012,8.576934e-05|9.685308e-05|0.00010743178|0.0011253041,262937.88|248821.89|184971.03|92959.164
155,1,4822.85595703125,6.477252960205078,1489.1671142578125,1,0.00010097370250150561,0.9700385928153992,4822.856,1,1,1.0,0.0006350502,0.79859984,0.0126518635,0.0092045115,0.000104264305,61914.47
156,4,4571.64453125,6.344086170196533,1441.230224609375,1,0.0001043321899487637,0.9904003739356995,4571.6445|4619.8154|4641.285|4685.936,1|1|1|1,1|1|1|0,0.23188627|0.2835166|0.4791304|0.0054667364,0.001459903|0.0012918358|0.0018619356|0.0,1.1459057|1.092789|1.2515464|-6.0184183,0.0051383977|0.0062824804|0.010617112|0.00012113811,0.0100894915|0.012805354|0.028258596|0.0009415443,7.096774e-05|8.6779415e-05|0.00014666084|1.6730338e-06,65197.895|60960.934|25180.414|55508504.0
157,1,4554.8984375,6.1662917137146,1477.354248046875,1,0.00010178108641412109,1.0189568996429443,4554.8984,1,1,1.0,0.0011225974,1.042557,0.019214664,0.011977656,0.00011843849,22982.123
158,3,4586.96923828125,6.3152971267700195,1452.6534423828125,1,0.00010351175296818838,0.994915246963501,4586.969|4607.0376|4637.277,1|1|1,1|1|1,0.084593676|0.65836215|0.25704417,0.002911083|0.00057635776|0.0054696146,1.449065|0.74570256|1.722967,0.0011288164|0.008785171|0.0034299921,0.0058600074|0.005|0.022493305,6.34753e-05|0.0005|0.00019297586,80050.58|97371.29|24949.277
159,4,4537.8408203125,6.94014310836792,1307.7081298828125,1,0.00011498491949168965,0.9053394198417664,4537.841|4563.9453|4580.1133|4611.26,1|1|1|1,1|1|0|1,0.59367734|0.24401532|0.008628877|0.15367848,9.881188e-05|0.0001086096|0.0|0.00010036588,-0.06583128|-0.024772253|-6.060641|-0.059054337,0.012875623|0.0052921837|0.00018714236|0.0033329658,0.016279079|0.009422752|0.00041122697|0.0031303584,0.0001863473|7.626866e-05|2.690727e-06|4.7994643e-05,392982.12|869753.3|52021596.0|1492813.1
160,5,4560.25634765625,6.186295032501221,1474.309326171875,1,0.00010199128882959485,1.0156620740890503,4560.2563|4583.723|4620.886|4661.1484|4684.2725,1|1|1|1|1,0|1|1|1|0,0.012055535|0.26235476|0.4241097|0.27842423|0.02305575,0.0|0.0021207759|0.0032884094|0.00248534|0.0,-6.008563|1.3179317|1.5084229|1.3868227|-6.008563,0.00023732363|0.0051646805|0.008348966|0.005481022|0.0004538724,0.0008334778|0.011585372|0.024701593|0.012744284|0.00044829008,5.0603117e-06|0.00011003594|0.00017789398|0.00011678247|9.700876e-06,89477910.0|44113.785|17893.113|35296.95|71960610.0
161,1,4795.81982421875,6.847037315368652,1400.8453369140625,1,0.00010733998351497576,0.9176502227783203,4795.82,1,1,1.0,0.00027994794,0.4163159,0.018188592,0.009425754,0.000105296174,98092.88
162,4,4736.76220703125,6.476257801055908,1462.808349609375,1,0.000102793172118254,0.9701876044273376,4736.762|4784.0464|4816.618|4844.304,1|1|1|1,1|1|1|1,0.09229928|0.3406794|0.39013606|0.17688526,0.0015216024|0.0019682597|0.0027501287|0.0019014863,1.170337|1.2821182|1.4273888|1.267129,0.001962019|0.00724187|0.008293177|0.0037600747,0.0032495547|0.008526203|0.014867163|0.0047515947,3.806323e-05|0.00014055063|0.00016095188|7.296552e-05,61855.387|32963.473|21094.102|54725.062
163,5,4658.869140625,6.491209506988525,1435.439453125,1,0.00010475308954482898,0.9679529070854187,4658.869|4703.0376|4729.5986|4762.419|4772.4443,1|1|1|1|1,1|1|1|1|1,0.14641085|0.1663266|0.26438686|0.25678107|0.16609462,0.0033085144|0.003191535|0.002486892|0.0034250123|0.0026153743,1.4994662|1.4838328|1.3754901|1.5144954|1.397367,0.0029235333|0.0033212113|0.00527928|0.005127407|0.003316579,0.009535188|0.009981927|0.013926236|0.015795587|0.0073801507,9.895053e-05|0.000112449416|0.00017882544|0.00017365946|0.000112317706,43861.496|41288.145|36738.44|26961.566|48445.06
164,3,4824.568359375,6.828147888183594,1413.14111328125,1,0.00010640601249178872,0.9201887845993042,4824.5684|4840.7095|4884.2144,1|1|1,1|1|1,0.5932278|0.20317939|0.20359282,0.00026010672|0.0015938804|0.0015096291,0.38818556|1.1754895|1.1519041,0.0075844703|0.0025976668|0.0026029525,0.005|0.011570752|0.012969727,0.0005|0.00016636259|0.00016672358,252586.58|117983.35|125166.11
165,3,4508.6015625,6.079279899597168,1483.268310546875,1,0.0001013752626022324,1.0335410833358765,4508.6016|4531.8022|4560.6406,1|1|1,1|1|1,0.32517654|0.05300694|0.6218165,0.005303676|0.0008500132|0.00061491836,1.718645|0.92349374|0.78288555,0.0056624142|0.0009230286|0.010827912,0.022131795|0.0026194185|0.005,0.0002591507|4.223009e-05|0.0005,15698.94|70584.89|73995.72
166,6,4751.89208984375,6.457180023193359,1471.8165283203125,1,0.0001021640346152708,0.9730541110038757,4751.892|4769.2695|4818.2036|4860.6914|4905.1206|4934.437,1|1|1|1|1|1,1|1|1|1|1|1,0.05698139|0.1636688|0.3111443|0.2079376|0.10674862|0.1535193,0.0006427319|0.0034781424|0.007988918|0.007649561|0.003320385|0.0032188778,0.79873186|1.5320493|1.8931899|1.8743385|1.5118904|1.4984064,0.0008862807|0.002545682|0.0048394953|0.003234233|0.0016603534|0.0023878182,0.0035224636|0.0072165993|0.018942602|0.016364472|0.0077443267|0.006854143,4.5785226e-05|0.00013156049|0.00025022597|0.00016722681|8.5844746e-05|0.00012346967,31976.953|24363.59|9688.204|12904.202|23901.854|24012.393
167,1,4799.9248046875,6.733865261077881,1425.6075439453125,1,0.00010547552665229887,0.9330726265907288,4799.925,1,1,1.0,0.0008057836,0.8830668,0.02173486,0.012590261,0.00014000754,28414.223
168,3,4561.20703125,6.131472587585449,1487.801513671875,1,0.00010106638364959508,1.0247433185577393,4561.207|4608.6294|4618.789,1|1|1,1|1|1,0.4061909|0.28000376|0.31380534,0.00021501479|0.00027660702|0.0002389875,0.32786185|0.43725666|0.37376866,0.0060550435|0.0041739857|0.004677862,0.012180743|0.009687465|0.009717755,0.000102230304|7.040746e-05|7.893222e-05,383932.56|432730.53|446988.53
169,2,4679.88623046875,6.684988975524902,1400.117919921875,1,0.00010739575373008847,0.9398946762084961,4679.886|4707.923,1|1,1|1,0.64358443|0.35641557,0.0010212833|0.0010746705,0.9781592|1.0002882,0.012507682|0.006926725,0.018090608|0.008383475,0.00012609124|6.981881e-05,39000.54|65894.69
170,6,4802.41943359375,6.5420026779174805,1468.1802978515625,1,0.00010241706331726164,0.9604376554489136,4802.4194|4814.892|4857.7773|4876.443|4918.625|4950.0,1|1|1|1|1|1,1|1|1|1|1|1,0.057964258|0.15030156|0.17403615|0.10417981|0.1496978|0.36382043,0.0010747488|0.00065923453|0.00064089|0.0008178286|0.0009410107|0.00096971233,1.0209347|0.80866766|0.7964113|0.90229005|0.9632223|0.9762707,0.0007295648|0.0018917645|0.0021904989|0.0013112549|0.0018841652|0.004579211,0.0029412236|0.006311149|0.007816478|0.004722552|0.00928225|0.02054823,2.6474567e-05|6.870323e-05|7.957622e-05|4.7607715e-05|6.8421476e-05|0.00016644227,525671.8|396116.16|353537.9|450549.72|278822.84|112326.125
171,2,4811.9248046875,6.7552008628845215,1424.6578369140625,1,0.00010554584150668234,0.9301255941390991,4811.925|4849.1025,1|1,1|1,0.8161143|0.1838857,0.00043152802|0.0007888256,0.611568|0.8735399,0.013683537|0.0030831546,0.012841735|0.0036474345,0.00021369563|4.8067737e-05,84565.35|193789.86
172,5,4621.33935546875,6.211293697357178,1488.0440673828125,1,0.00010104990360559896,1.011574387550354,4621.3394|4638.7183|4652.5005|4676.421|4724.512,1|1|1|1|1,0|1|0|0|1,0.0059634|0.7545902|0.006325544|0.008242954|0.2248779,0.0|0.00039637|0.0|0.0|0.003386199,-6.0045357|0.593565|-6.0045357|-6.0045357|1.5251766,0.00011248426|0.01423341|0.00011931517|0.0001554822|0.004241745,0.0006592444|0.012|0.00055122806|0.0008066978|0.03064641,7.1587524e-06|0.00093980087|7.607756e-06|9.930225e-06|0.00027010345,53041492.0|88523.83|93379896.0|87718056.0|34389.266
173,4,4718.81640625,6.5140180587768555,1448.8189697265625,1,0.00010378571460023522,0.9645637273788452,4718.8164|4758.0273|4800.099|4847.4863,1|1|1|1,1|1|1|1,0.22367042|0.34550118|0.11096992|0.31985846,0.00033618242|0.00029857567|0.00039815254|0.00026044756,0.51043755|0.458917|0.583912|0.39958286,0.00427453|0.0066028186|0.0021207286|0.006112764,0.011969048|0.019755553|0.004555304|0.01599447,7.2877876e-05|0.000112656424|3.613999e-05|0.00010430844,347646.0|253559.11|587248.44|313969.78
174,6,4723.55322265625,6.512982368469238,1450.50390625,1,0.00010366515925852582,0.9647170305252075,4723.553|4751.2017|4769.6494|4787.208|4831.468|4861.898,1|1|1|1|1|1,1|1|0|1|1|1,0.20107085|0.2017065|0.016011119|0.10823165|0.20130926|0.2716706,0.0001344128|0.00012694942|0.0|0.00012507573|0.00011458093|0.000107740896,0.112808116|0.08799829|-6.0156326|0.08154062|0.04347992|0.01674819,0.00401249|0.004025175|0.00031951154|0.0021598279|0.004017248|0.005421351,0.008864326|0.012426091|0.0002467315|0.0033447826|0.009257605|0.010415875,0.00010207442|0.000102437385|8.110268e-06|5.4841246e-05|0.000102303384|0.00013840488,926844.9|978374.9|75627650.0|1848077.4|1086067.2|855915.94
175,6,4783.421875,6.701939105987549,1427.4739990234375,1,0.00010533761815167964,0.937517523765564,4783.422|4826.135|4867.8315|4897.484|4935.662|4948.7925,1|1|1|1|1|1,1|1|1|1|1|1,0.07869942|0.1269559|0.523504|0.06577283|0.08633682|0.11873099,0.0035331277|0.003893603|0.00055649556|0.0032129567|0.003402812|0.003967337,1.5255759|1.5677682|0.7228783|1.4843214|1.5092545|1.5759156,0.0017772169|0.002866961|0.011821945|0.0014853043|0.0019496873|0.0026812234,0.008780746|0.012872559|0.0059890184|0.0070223296|0.0089966785|0.013227723,7.439597e-05|0.000120106706|0.0005|6.224742e-05|8.1718026e-05|0.000112386624,60233.445|39502.273|75232.77|63771.754|59935.85|41561.113
176,5,4627.6533203125,6.556795597076416,1411.5594482421875,1,0.00010652523633325472,0.958270788192749,4627.6533|4675.0806|4717.0073|4749.7173|4765.2197,1|1|1|1|1,1|1|1|1|0,0.117054544|0.070467755|0.5651683|0.24093357|0.0063758227,0.000302706|0.0004271622|0.0003037779|0.00024252395|0.0,0.45356864|0.6031404|0.45510378|0.3573023|-6.0274525,0.002143801|0.001290585|0.010350802|0.004412589|0.0001167703,0.0062721036|0.0032516685|0.03154593|0.020992542|0.00057614583,6.637964e-05|3.9931358e-05|0.00032273057|0.00013705541|3.6127833e-06,768519.6|889562.9|158999.31|467151.97|71992664.0
177,5,4587.78173828125,6.152371883392334,1491.3863525390625,1,0.0001008234394248575,1.021262288093567,4587.7817|4599.3794|4641.1807|4662.4995|4699.8022,1|1|1|1|1,1|1|1|1|1,0.36241806|0.13161959|0.23700339|0.16365355|0.10530541,0.0012516886|0.0011751652|0.0009934783|0.0011323516|0.0012465493,1.0939348|1.0665374|0.993597|1.0504198|1.092148,0.0069433725|0.002521629|0.0045406204|0.0031353503|0.0020174899,0.015809024|0.0051274244|0.009095354|0.0073011667|0.004042877,0.00027269288|9.890693e-05|0.00017829174|0.00012302877|7.9127174e-05,57181.805|159739.64|109552.71|137499.0|178624.3
178,3,4887.05517578125,6.742956638336182,1449.5289306640625,1,0.00010373488476034254,0.9318146109580994,4887.055|4915.854|4926.983,1|1|1,1|1|1,0.41166866|0.4016867|0.18664464,6.987201e-05|8.870587e-05|8.181119e-05,-0.17162097|-0.06797198|-0.103111595,0.008033516|0.007838722|0.0036422801,0.00825082|0.010201851|0.0033360114,0.000119588694|0.000116519375|5.4010303e-05,890686.3|719008.75|1676800.4
179,4,4702.7861328125,6.611014366149902,1422.71240234375,1,0.00010569016012595966,0.9504117369651794,4702.786|4729.2783|4739.3555|4787.4727,1|1|1|1,1|0|1|1,0.15963872|0.02483726|0.4708169|0.3447071,0.0038087259|0.0|0.0053041745|0.0036488657,1.5567452|-6.0240345|1.7005832|1.5381234,0.0019917637|0.00030988693|0.0058742394|0.0043008057,0.008349434|0.0008795132|0.023950094|0.013681442,5.999944e-05|9.36037e-06|0.00017699554|0.00012959003,42186.48|62738620.0|15122.172|29114.34
180,6,4638.70556640625,6.63238000869751,1398.8056640625,1,0.00010749649663921446,0.9473499655723572,4638.7056|4673.509|4695.951|4721.954|4737.294|4754.9863,1|1|1|1|1|1,1|1|1|1|1|1,0.109081954|0.10551194|0.10608901|0.3643777|0.18404262|0.13089676,0.002588991|0.002544796|0.0029849366|0.0026594172|0.0034197534|0.0027591514,1.3817363|1.3742588|1.4435408|1.3933922|1.5026004|1.4093813,0.0015053747|0.0014561069|0.0014640708|0.005028558|0.0025398617|0.0018064277,0.0060207886|0.005959506|0.0072206976|0.015825318|0.012697063|0.008132743,9.4542185e-05|9.148712e-05|9.200321e-05|0.00031651373|0.000159689|0.0001135628,91015.89|96635.914|85114.22|36168.23|52453.258|85145.09
